,index,g_id,g_name,drpo_ConfiguredRPO,drpol_CurrentRPO,drpol_Deviation,CPU-Usage (%),Memory-Usage (%),Network-Usage Rate (KBps),Disk-Read IOPS,Disk-Read Latency (ms),Disk-Total IOPS,Disk-Total Latency (ms),Disk-Total Throughput (KBps),Disk-Write IOPS,Disk-Write Latency (ms),Disk-Read Throughput (KBps),Disk-Write Throughput (KBps)
4027,2021-01-20 09:20:00,177,RG_apprdotmOLTPdb,7200,48,0,2.34800004959106,14.3233337402344,932.799987792969,158.33332824707,0.503214061260223,328.333343505859,0.403993219137192,7470.2001953125,170,0.236543491482735,6696.39990234375,783.933349609375
4028,2021-01-20 09:30:00,177,RG_apprdotmOLTPdb,7200,47,0,3.91666674613953,23.1900005340576,1371.33337402344,262.399993896484,0.761009514331818,526.133361816406,0.661395490169525,21118.1328125,263.733337402344,1.20990741252899,19892.599609375,1236.26672363281
4029,2021-01-20 09:40:00,177,RG_apprdotmOLTPdb,7200,1,0,4.51200008392334,58.5900001525879,946.200012207031,833.933349609375,0.900636851787567,1094.06665039063,0.771263182163239,87314.265625,260.133331298828,0.210571870207787,84404.9296875,2920.19995117187
4030,2021-01-20 09:50:00,177,RG_apprdotmOLTPdb,7200,2,0,5.54933309555054,38.3899993896484,2883.80004882812,379,0.757197320461273,667.599975585938,0.597816407680512,37453.6015625,288.600006103516,0.468024283647537,36164.19921875,1300.26672363281
4031,2021-01-20 10:00:00,177,RG_apprdotmOLTPdb,7200,2,0,8.83066654205322,54.7253341674805,3942.39990234375,375.066680908203,0.848477303981781,807.200012207031,0.635678887367249,19205.8671875,432.133331298828,0.456818699836731,17235.599609375,1982.26672363281
4032,2021-01-20 10:10:00,177,RG_apprdotmOLTPdb,7200,47,0,7.09800004959106,44.2566680908203,4611.466796875,416.733337402344,0.837860584259033,850.733337402344,0.592962920665741,9430.2001953125,434,0.509229838848114,7503.06689453125,1937.66662597656
4033,2021-01-20 10:20:00,177,RG_apprdotmOLTPdb,7200,47,0,8.82733345031738,54.7900009155273,4495,1052.46667480469,0.450746387243271,1567.26672363281,0.443061530590057,28199.533203125,514.799987792969,0.52672153711319,25922.80078125,2287.7333984375
4034,2021-01-20 10:30:00,177,RG_apprdotmOLTPdb,7200,47,0,10.3806667327881,67.3233337402344,3684.33325195312,1339.13330078125,0.54448813199997,1730.33337402344,0.528424859046936,27848.466796875,391.200012207031,1.64681684970856,26095.19921875,1765.40002441406
4035,2021-01-20 10:40:00,177,RG_apprdotmOLTPdb,7200,47,0,8.51333332061768,62.3899993896484,7334.7998046875,443.266662597656,0.739269077777862,1093.19995117188,0.626491010189056,9495.06640625,649.933349609375,0.356579840183258,6721.7333984375,2784.06665039062
4036,2021-01-20 10:50:00,177,RG_apprdotmOLTPdb,7200,47,0,13.0453329086304,52.0566673278809,6785.466796875,1064.46667480469,0.991052389144897,1720.46667480469,0.84789913892746,36386,656,0.449970871210098,33439.06640625,2958.39990234375
4037,2021-01-20 11:00:00,177,RG_apprdotmOLTPdb,7200,0,0,14.485333442688,87.1900024414063,6290.2001953125,1793.26672363281,0.964248955249786,2694.66674804687,0.821888506412506,47501,901.400024414062,0.799065470695496,43588.93359375,3924
4038,2021-01-20 11:10:00,177,RG_apprdotmOLTPdb,7200,0,0,14.1686668395996,73.2566680908203,10391.533203125,2581.66674804687,0.562670111656189,3182.60009765625,0.570638954639435,72525.734375,600.933349609375,1.92290222644806,69783,2754.53344726562
4039,2021-01-20 11:20:00,177,RG_apprdotmOLTPdb,7200,0,0,12.4879999160767,61.9900016784668,4498.13330078125,1893.26672363281,0.712344348430633,2471.39990234375,0.662717461585999,44156.80078125,578.133361816406,0.466246098279953,41477.66796875,2690.06665039063
4040,2021-01-20 11:30:00,177,RG_apprdotmOLTPdb,7200,0,0,12.7846670150757,63.4566650390625,12043.7998046875,1396.93334960938,0.971776247024536,2096.7333984375,0.8367640376091,51237.8671875,699.799987792969,0.598351716995239,48100.734375,3148.06665039062
4041,2021-01-20 11:40:00,177,RG_apprdotmOLTPdb,7200,0,0,12.5306663513184,61.4566650390625,5343.39990234375,1755.13330078125,0.886484086513519,2594.33325195312,0.802963733673096,62281.06640625,839.200012207031,0.636614143848419,58229.734375,4062.80004882813
4042,2021-01-20 11:50:00,177,RG_apprdotmOLTPdb,7200,132,0,14.0366668701172,77.1900024414063,10712.7333984375,690.133361816406,1.56202340126038,2468.13330078125,1.74385499954224,40212.734375,1778,0.67959189414978,30617.80078125,9606.466796875
4043,2021-01-20 12:00:00,177,RG_apprdotmOLTPdb,7200,132,0,14.8986663818359,65.8573303222656,7446.39990234375,759.733337402344,0.709336638450623,1897.19995117187,0.627404153347015,30135.8671875,1137.46667480469,0.500779807567596,25235.80078125,4911.466796875
4044,2021-01-20 12:10:00,177,RG_apprdotmOLTPdb,7200,6,0,11.9433336257935,77.0566635131836,9159.7998046875,1165.66662597656,0.680693924427033,1701.40002441406,0.632840931415558,83575.6640625,535.733337402344,0.527924656867981,80789.734375,2797.13330078125
4045,2021-01-20 12:20:00,177,RG_apprdotmOLTPdb,7200,0,0,12.1933336257935,58.2566680908203,8853.2001953125,635.266662597656,0.416965752840042,1112.33337402344,0.468604534864426,30781.06640625,477.066680908203,2.55460906028748,28574.533203125,2217.66674804687
4046,2021-01-20 12:30:00,177,RG_apprdotmOLTPdb,7200,1,0,12.8913335800171,75.3899993896484,7264.2001953125,1745.93334960938,0.442865312099457,2266.39990234375,0.457573443651199,91298,520.466674804688,0.692376971244812,88829.734375,2480.2666015625
4047,2021-01-20 12:40:00,177,RG_apprdotmOLTPdb,7200,1,0,15.1793336868286,52.0579986572266,9431.1337890625,842.733337402344,0.775893270969391,1476.66662597656,0.570537269115448,20210.466796875,633.933349609375,0.542277097702026,17342.533203125,2878.39990234375
